Key,English
gunBAR1Desc,"An old relic of a gun."
gunSCAR,SCAR Assault Rifle
gunSCARDesc,"Military-issue assault rifle."
gunm79,M-79 Grenade Launcher
gunm79Desc,"Single-fire 40mm grenade launcher. Has AP, HE, and Smoke rounds"
gunHarpoonGun,Harpoon Gun
gunHarpoonGunDesc,"Well-used, hacked together harpoon gun. Scales with the Advanced Engineering perk."
gun1911apoc,Old M1911
gun1911apocDesc,"Looks like this thing has seen better days. Maybe it'll fire and not just blow your hand off..."
gun1911worn,Worn M1911
gun1911wornDesc,"Definitely had a few rounds ran through it. But...2 WORLD WARS!!!"
gunG19,G19 Pistol
gunG19Desc,"A well maintained 9mm pistol."
gunMicroRoni,Micro Roni
gunMicroRoniDesc,"A G19 converted into a PDW style weapon."
gun1921Thompson,M1921 Thompson
gun1921ThompsonDesc,"If it could handle gangsters, it'll handle those zeds."
gunVectorSMG,Vector SMG
gunVectorSMGDesc,"Now you can go all Spec Ops on those zeds. Unlocked by schematic or Gunslinger 5."
gunCrossbowSemi,Semi-Auto Crossbow
gunCrossbowSemiDesc,Custom made crossbow that can fire several bolts before reloading.

ammo40mmHE,40mm HE Grenade (Ammo)
ammo40mmHEDesc,High-explosive 40mm grenade used in the M-79 launcher.
ammo40mmSmoke,40mm Smoke Grenade(Ammo)
ammo40mmSmokeDesc,Smoke 40mm grenade used in the M-79 launcher.
ammo40mmAP,40mm AP Grenade (Ammo)
ammo40mmAPDesc,"AP 40mm grenade used in the M-79 launcher. Lower entity damage, with much lower block damage."
ammoNuke,Nuke (Ammo)
ammoNukeDesc,These things caused all of this so surely they can fix it. Right? Will wreck everything so handle with caution. Not advised for indoor use.
ammoNukeAP,Nuke AP (Ammo)
ammoNukeAPDesc,Anti-Personnel version crafted from a scavenged mini nuke. Much lower block damage. Slightly lower enitity damage and slightly decreased AOE.
ammoBowlingball,Bowling Ball (Ammo)
ammoBowlingballDesc,Can't find any nukes to use with your shiny Fat Man? Use these! *Not PBA regulation*
ammoRailSpike,Rail Spike (Ammo)
ammoRailSpikeDesc,Normal puny bullets not stopping those pesky zeds? Try these!
ammoRailSpikeSteel,Steel Rail Spike (Ammo)
ammoIncinerator,Incinerator Fuel (Ammo)
ammoIncineratorDesc,Ammo used by the Incinerator.
ammoFlareGun,Flare (Ammo)
ammoFlareGunDesc,Ammo for the Flare Gun.
ammo10mmBullet,10mm (Ammo)
ammo10mmBulletDesc,Regular 10mm round. Marginally better than regular 9mm rounds.
ammo10mmBulletHP,10mm HP (Ammo)
ammo10mmBulletHPDesc,10mm HP round. Best against soft targets. Marginally better than HP 9mm rounds.
ammo10mmBulletAP,10mm AP (Ammo)
ammo10mmBulletAPDesc,10mm AP round. Best against armored targets. Marginally better than AP 9mm rounds.
ammoBundle10mmBullet,Box of 10mm Ammo (100)
ammoBundle10mmBulletHP,Box of HP 10mm Ammo (100)
ammoBundle10mmBulletAP,Box of AP 10mm Ammo (100)
ammo45acpBullet,45 ACP (Ammo)
ammo45acpBulletDesc,Regular 45 ACP round. Marginally better than regular 10mm rounds.
ammo45acpBulletHP,45 ACP HP (Ammo)
ammo45acpBulletHPDesc,45 ACP HP round. Best against soft targets. Marginally better than HP 10mm rounds.
ammo45acpBulletAP,45 ACP AP (Ammo)
ammo45acpBulletAPDesc,45 ACP AP round. Best against armored targets. Marginally better than AP 10mm rounds.
ammoBundle45acpBullet,Box of 45 ACP Ammo (100)
ammoBundle45acpBulletHP,Box of HP 45 ACP Ammo (100)
ammoBundle45acpBulletAP,Box of AP 45 ACP Ammo (100)
ammoShotgunMagnumBuckshot,Magnum Buckshot (Ammo)
ammoShotgunMagnumBuckshotDesc,Higher power load than regular shells with more projectiles. Better against armor though not as good as slugs.
ammoBundleMagnumBuckshot,Box of Magnum Buckshot Ammo (100)
ammo556b,5.56mm (Ammo)
ammo556bDesc,Regular 5.56mm round.
ammo556bHP,5.56mm HP (Ammo)
ammo556bHPDesc,5.56mm HP round. Best against soft targets.
ammo556bAP,5.56mm AP (Ammo)
ammo556bAPDesc,5.56mm AP round. Best against armored targets.
ammoBundle556b,Box of 5.56mm Ammo (100)
ammoBundle556bHP,Box of HP 5.56mm Ammo (100)
ammoBundle556bAP,Box of AP 5.56mm Ammo (100)
ammoAB,Alien Energy Cell (Ammo)
ammoABDesc,Ammo used by the Alien Blaster.
ammoEC,Energy Cell (Ammo)
ammoECDesc,Ammo used by the Laser Pistol.
ammoMFC,Microfusion Cell (Ammo)
ammoMFCDesc,Ammo used by the Laser Rifle.
ammoSMFC,Shotgun Microfusion Cell (Ammo)
ammoSMFCDesc,Ammo used by the Laser Shotgun.
ammoPEC,Plasma Energy Cell (Ammo)
ammoPECDesc,Ammo used by the Plasma Pistol.
ammoPMFC,Plasma Microfusion Cell (Ammo)
ammoPMFCDesc,Ammo used by the Plasma Rifle.
ammoCMFC,Cryo Cell (Ammo)
ammoCMFCDesc,Ammo used by the Cryolator.
ammoHarpoonBolt,Harpoon Bolt (Ammo)
ammoHarpoonBoltDesc,Ammo used by the Harpoon Gun.
ammoHarpoonNet,Net Projectile (Ammo)
ammoHarpoonNetDesc,Ammo used by the Harpoon Gun. Will slow down zeds and small animals. Won't work against bigger targets.
thrownCryoGrenade,Cryo Grenade (Ammo)
thrownCryoGrenadeDesc,"Experimental cryogenic grenade. Not as much upfront damage as a normal grenade, but makes up for it with its slowing and weakness effects. Short fuse."
thrownNukaGrenade,Nuka Grenade (Ammo)
thrownNukaGrenadeDesc,Experimental Nuka grenade. Short fuse. Highly effective against organic matter...

gunBrokenMasterDesc,"This weapon is broken, but can be repaired if you have the right parts."
gunHandgunT1PistolBroken,Broken Pistol
gunHandgunT3SMG5Broken,Broken SMG-5
gunHandgunT2Magnum44Broken,Broken 44 Magnum
gunHandgunT3DesertVultureBroken,Broken Desert Vulture
gunShotgunT1DoubleBarrelBroken,Broken Double Barrel
gunShotgunT2PumpShotgunBroken,Broken Pump Shotgun
gunShotgunT3AutoShotgunBroken,Broken Auto Shotgun
gunRifleT1HuntingRifleBroken,Broken Hunting Rifle
gunRifleT2LeverActionRifleBroken,Broken Lever Action Rifle
gunRifleT3SniperRifleBroken,Broken Sniper Rifle
gunMGT1AK47Broken,Broken AK-47
gunMGT2TacticalARBroken,Broken Tactical Assault Rifle
gunMGT3M60Broken,Broken M60 Machine Gun
gunExplosivesT3RocketLauncherBroken,Broken Rocket Launcher
gunBowT1WoodenBowBroken,Broken Wooden Bow
gunBowT3CompoundBowBroken,Broken Compound Bow
gunBowT1IronCrossbowBroken,Broken Iron Crossbow
gunBowT3CompoundCrossbowBroken,Broken Compound Crossbow
gun10mmPistolBroken,Broken 10mm Pistol
gun10mmRevBroken,Broken 10mm Revolver
gun10mmSMGBroken,Broken 10mm SMG
gun1911apocBroken,Broken 1911 Pistol
gun1911wornBroken,Broken 1911 Pistol
gunG19Broken,Broken G19 Pistol
gunMicroRoniBroken,Broken Micro Roni Pistol
gun1921ThompsonBroken,Broken 1921 Thompson SMG
gunVectorSMGBroken,Broken Vector SMG
gunTripleBarrelShotgunBroken,Broken Triple Barrel Shotgun
gunHenryShotgunBroken,Broken Henry Shotgun
gunAntiqueShotgunBroken,Broken Antique Shotgun
gunCombatShotgunBroken,Broken Combat Shotgun
gunServiceRifleBroken,Broken Service Rifle
gunBAR1Broken,Broken Browning Automatic Rifle
gunSCARBroken,Broken SCAR Assault Rifle
gunLARBroken,Broken Lever Action Rifle
gunHeavySniperBroken,Broken Heavy Sniper
gunMiniGBroken,Broken Minigun
gunFatManBroken,Broken Fat Man
gunm79Broken,Broken M79 Grenade Launcher
gunLaserPistolBroken,Broken Laser Pistol
gunLaserRifleBroken,Broken Laser Rifle
gunLaserShotgunBroken,Broken Laser Shotgun
gunPlasmaPistolBroken,Broken Plasma Pistol
gunPlasmaRifleBroken,Broken Plasma Rifle
gunCrossbowSemiBroken,Broken Semi-Auto Crossbow

modFlashlight,Flashlight (Mod)
modFlashlightDesc,Homemade flashlight attachment.
modOilFilterSuppressor,Oil Filter Suppressor
modOilFilterSuppressorDesc,Might make it hard to aim but at least they shouldn't hear all those misses...
modLargeMag,Extended Mag (Pipe Guns)
modLargeMagDesc,Double the ammo capacity of your pipe guns.
modLongRifleBarrel,Long Rifle Barrel (Pipe Rifle)
modLongRifleBarrelDesc,Can be installed on a Pipe Rifle to increase range and damage at a cost to handling.
modShotgunCylinderMag,Shotgun Cylinder Mag
modShotgunCylinderMagDesc,Custom made 4 round cylinder for the Pipe Shotgun.
modLongShotgunBarrel,Long Shotgun Barrel(Pipe Shotgun)
modLongShotgunBarrelDesc,Can be installed on a Pipe Shotgun to increase range at a small cost to handling.
modOverchargedCapacitor,Overcharged Capacitor
modOverchargedCapacitorDesc,Can be installed on a Laser weapon to increase magazine size and damage. Increases weapon degradation.
modLaserSplitter,Laser Beam Splitter
modLaserSplitterDesc,Can be installed on a Laser pistol or rifle. Splits the beam, firing 2 ammo cells at once. Increases weapon degradation.
modLaserFocuser,Laser Beam Focuser
modLaserFocuserDesc,Can be installed on a Laser pistol or rifle to increase range and damage. Increases weapon degradation.
modLaserScope,Laser Rifle Scope
modLaserScopeDesc,Can be installed on a Laser Rifle to add greater sight range. Works best with a Focuser.
modPlasmaScope,Plasma Rifle Scope
modPlasmaScopeDesc,Can be installed on a Plasma Rifle to add greater sight range.
modPlasmaOverchargedCapacitor,Plasma Overcharged Capacitor
modPlasmaOverchargedCapacitorDesc,Can be installed on a Plasma weapon to slightly increase magazine size and raise damage. Increases weapon degradation.
modPlasmaBoostedEmitter,Plasma Boosted Emitter
modPlasmaBoostedEmitterDesc,Can be installed on a Plasma weapon to greatly increase magazine size. Increases weapon degradation.
modPlasmaSniperBarrel,Plasma Rifle Sniper Barrel
modPlasmaSniperBarrelDesc,Can be installed on a Plasma Rifle to increase velocity and range. Increases weapon degradation and makes hip-fire slightly worse. 
modRadAdder,Rad Adder
modRadAdderDesc,"Weapon mod created with some leftover nuclear waste. Increases damage against living beings and, to a lesser extent, mutants."
modIncineratorLT,Large Tanks
modIncineratorLTDesc,A mod for the Incinerator that increases the amount of shots before needing to reload.
modIncineratorHP,High Pressure Hoses
modIncineratorHPDesc,A mod for the Incinerator that allows it to fire faster.
modIncineratorSB,Smooth Bore Barrel
modIncineratorSBDesc,A mod for the Incinerator that smooths the inside of the barrel to allow the projectiles to fire with more velocity.
modPlasmaScope,Plasma Rifle Scope
modPlasmaScopeDesc,A scope made to work with the plasma rifle.
modPlasmaSniperBarrel,Plasma Rifle Sniper Barrel
modPlasmaSniperBarrelDesc,An extended barrel that focuses the plasma projectile

gunPipePistol_Legendary,[FFC300]Silent But Deadly[-]
gunPipePistol_LegendaryDesc,Unique variant of the Pipe Pistol. Won't disappear upon breaking. Better stats and an included silencer for increased stealth!
gunPipeShotgunSMSB_Legendary,[FFC300]Firestarter[-]
gunPipeShotgunSMSB_LegendaryDesc,Unique variant of the Pipe Shotgun. Won't disappear upon breaking. Better stats and makes every round act like Dragon's Breath!
gunPipeRifle_Legendary,[FFC300]Long Distance[-]
gunPipeRifle_LegendaryDesc,Unique variant of the Pipe Rifle. Won't disappear upon breaking. Hits harder and has a scope!
gunLAR_Legendary,[FFC300]Lincoln's Repeater[-]
gunLAR_LegendaryDesc,Unique variant of the Lever Action Rifle. Hits harder and can penetrate multiple targets as well as dismember them. Has a variable zoom on the iron sights.
gunLeFusilTerribles,[FFC300]Le Fusil Terribles[-]
gunLeFusilTerriblesDesc,Military tier shotgun.
gunHeavySniperGobi,[FFC300]Arizona Campaign Scout Rifle[-]
gunHeavySniperGobiDesc,Modified long range sniper rifle.
gunMaria,[FFC300]Maria[-]
gunMariaDesc,Unique variant of the 9mm pistol. Hits harder and can dismember targets.
gunPewPew,[FFC300]Pew Pew[-]
gunPewPewDesc,Unique variant of the laser pistol. Some homemade tweaks have increased the damage output.
gunAERPrototype,[FFC300]AER15 Prototype[-]
gunAERPrototypeDesc,Unique prototype variant of the laser rifle. Higher damage per beam and shoots 5 rounds in one trigger pull. Hip fire behaves more like a shotgun while aimed fire allows heavy damage to a single target.
gunCryolator,[FFC300]Cryolator[-]
gunCryolatorDesc,Unique military prototype. Able to slow enemies when hit and has a chance to completely freeze targets.
gunAlienBlaster,[FFC300]Alien Blaster[-]
gunAlienBlasterDesc,"Not exactly sure how it works, but it has a trigger and it kills things..."
gunAshmaker,[FFC300]Ashmaker[-]
gunAshmakerDesc,"Slightly modified mingun that will set enemies on fire."
gunCrossbowSemiL,[FFC300]Arramus's Crossbow[-]
gunCrossbowSemiLDesc,"Semi-auto, customized crossbow. Has a chance to knock enemies down upon a successful sneak attack."

gunServiceRifleSchematic,Service Rifle Schematic
gunServiceRifleSchematicDesc,Teaches you to craft the Service Rifle. Scales with the Machine Gunner perk.
gun10mmPistolSchematic,10mm Pistol Schematic
gun10mmPistolSchematicDesc,Teaches you to craft the 10mm Pistol. Scales with the Gunslinger perk.
gun10mmRevSchematic,10mm Revolver Schematic
gun10mmRevSchematicDesc,Teaches you to craft the 10mm Revolver. Scales with the Gunslinger perk.
gun10mmSMGSchematic,10mm SMG Schematic
gun10mmSMGSchematicDesc,Teaches you to craft the 10mm SMG. Scales with the Gunslinger perk.
gun1911apocSchematic,Old M1911 Pistol Schematic
gun1911apocSchematicDesc,Teaches you to craft the Old M1911 Pistol. Scales with the Gunslinger perk.
gun1911wornSchematic,Worn M1911 Pistol Schematic
gun1911wornSchematicDesc,Teaches you to craft the Worn M1911 Pistol. Scales with the Gunslinger perk.
gunG19Schematic,G19 Pistol Schematic
gunG19SchematicDesc,Teaches you to craft the G19 Pistol and the Micro Roni. Scales with the Gunslinger perk.
gun1921ThompsonSchematic,M1921 Thompson SMG Schematic
gun1921ThompsonSchematicDesc,Teaches you to craft the M1921 Thompson SMG. Scales with the Gunslinger perk.
gunVectorSMGSchematic,Vector SMG Schematic
gunVectorSMGSchematicDesc,Teaches you to craft the Vector SMG. Scales with the Gunslinger perk.
gunLARSchematic,Lever Action Rifle Schematic
gunLARSchematicDesc,Teaches you to craft the Lever Action Rifle. Scales with the Deadeye perk.
gunHeavySniperSchematic,Heavy Sniper Rifle Schematic
gunHeavySniperSchematicDesc,Teaches you to craft the Heavy Sniper Rifle. Scales with the Deadeye perk.
gunRailwayRifleSchematic,Railway Rifle Schematic
gunRailwayRifleSchematicDesc,Teaches you to craft the Railway Rifle. Scales with the Advanced Engineering perk.
gunIncineratorSchematic,Incinerator Schematic
gunIncineratorSchematicDesc,Teaches you to craft the Incinerator. Scales with the Demolitions Expert perk.
gunTripleBarrelShotgunSchematic,Triple Barrel Shotgun Schematic
gunTripleBarrelShotgunSchematicDesc,Teaches you to craft the Triple Barrel Shotgun. Scales with the Boomstick perk.
gunAntiqueShotgunSchematic,Antique Shotgun Schematic
gunAntiqueShotgunSchematicDesc,Teaches you to craft the Antique Shotgun. Single Shot. Scales with the Boomstick perk.
gunHenryShotgunSchematic,Henry Shotgun Schematic
gunHenryShotgunSchematicDesc,Teaches you to craft the Henry Shotgun. Single Shot. Scales with the Boomstick perk.
gunCombatShotgunSchematic,Combat Shotgun Schematic
gunCombatShotgunSchematicDesc,Teaches you to craft the Combat Shotgun. Scales with the Boomstick perk.
gunLaserPistolSchematic,Laser Pistol Schematic
gunLaserPistolSchematicDesc,Teaches you to craft the Laser Pistol. Scales with the Advanced Engineering perk.
gunLaserRifleSchematic,Laser Rifle Schematic
gunLaserRifleSchematicDesc,Teaches you to craft the Laser Rifle. Scales with the Advanced Engineering perk.
gunLaserShotgunSchematic,Laser Shotgun Schematic
gunLaserShotgunSchematicDesc,Teaches you to craft the Laser Rifle. Scales with the Advanced Engineering perk.
gunPlasmaPistolSchematic,Plasma Pistol Schematic
gunPlasmaPistolSchematicDesc,Teaches you to craft the Plasma Pistol. Scales with the Advanced Engineering perk.
gunPlasmaRifleSchematic,Plasma Rifle Schematic
gunPlasmaRifleSchematicDesc,Teaches you to craft the Plasma Rifle. Scales with the Advanced Engineering perk.
gunBAR1Schematic,BAR Schematic
gunBAR1SchematicDesc,Teaches you to craft the BAR. Scales with the Machine Gunner perk.
gunSCARSchematic,SCAR Schematic
gunSCARSchematicDesc,Teaches you to craft the SCAR. Scales with the Machine Gunner perk.
gunMiniGSchematic,Minigun Schematic
gunMiniGSchematicDesc,Teaches you to craft the Minigun. Scales with the Machine Gunner perk.
gunm79Schematic,M-79 Schematic
gunm79SchematicDesc,Teaches you to craft the M-79. Scales with the Demolitions Expert perk.
gunLaserPistolScrapSchematic,Scrap Laser Pistol Schematic
gunLaserPistolScrapSchematicDesc,Teaches you to craft the Scrap Laser Pistol. Scales with the Advanced Engineering perk.
gunHarpoonGunSchematic,Harpoon Gun Schematic
gunHarpoonGunSchematicDesc,Teaches you to craft the Harpoon Gun. Scales with the Advanced Engineering perk.
gunCrossbowSemiSchematic,Semi-Auto Crossbow Schematic
gunCrossbowSemiSchematicDesc,Teaches you to craft the Semi-Auto Crossbow. Scales with the Archery perk.
meleeCattleProdSchematic,Cattle Prod Schematic
meleeCattleProdSchematicDesc,Teaches you to craft the Cattle Prod. Scales with the Electrocutioner perk.

modArmorExtraInsulationSchematic,Extra Insulation Mod Schematic
modArmorBreathableMeshSchematic,Breathable Mesh Mod Schematic
modArmorTemperedPlatingSchematic,Tempered Plating Mod Schematic
modIncineratorLTSchematic,Large Tanks Schematic
modIncineratorHPSchematic,High Pressure Hoses Schematic
modIncineratorSBSchematic,Smooth Bore Barrel Schematic
modOverchargedCapacitorSchematic,Overcharged Capacitor Schematic
modLaserSplitterSchematic,Laser Splitter Schematic
modLaserFocuserSchematic,Laser Focuser Schematic
modLaserScopeSchematic,Laser Rifle Scope Schematic
modRadAdderSchematic,Rad Adder Schematic
modPlasmaScopeSchematic,Plasma Rifle Scope Schematic
modPlasmaOverchargedCapacitorSchematic,Plasma Overcharged Capacitor Schematic
modPlasmaBoostedEmitterSchematic,Plasma Boosted Emitter Schematic
modPlasmaSniperBarrelSchematic,Plasma Rifle Sniper Barrel Schematic
cntVTstorageSecurePlayerSchematic,Vault Tec Storage Schematic
cntVTstorageTallSecurePlayerSchematic,Vault Tec Tall Storage Schematic

meleeBanjo,Banjo
meleeBanjoDesc,A melee weapon. A good choice when trying to win Zombie Kill of the Week!
meleeBaton,Baton
meleeBatonDesc,A simple melee weapon.
meleeCleaver,Cleaver
meleeCleaverDesc,A simple melee weapon.
meleeCrowbar,Crowbar
meleeCrowbarDesc,A simple melee weapon.
meleeCuestick,Cue Stick
meleeCuestickDesc,"A pool cue. Not the most effective, but it might keep you alive."
meleeKatana1,Katana
meleeKatana1Desc,"Meant for samurai warriors. But who's left to judge?"
meleeNailBoard,Nail Board
meleeNailBoardDesc,A simple melee weapon.
meleePipeHammer,Pipe Hammer
meleePipeHammerDesc,A makeshift melee weapon.
meleePipeWrench,Pipe Wrench
meleePipeWrenchDesc,A simple melee weapon.
meleeRebarClub,Rebar Club
meleeRebarClubDesc,A heavy melee weapon. Scavenged from the rubble out in the wasteland...
meleeRollingPin,Rolling Pin
meleeRollingPinDesc,A used kitchen utensil. Make Grandma proud!
meleeTireIron,Tire Iron
meleeTireIronDesc,"Heavy and metal? What else do you need?".
meleeSupaSledge,Supa Sledge
meleeSupaSledgeDesc,"Modified sledgehammer. Heavy and slow, but very powerful."
meleeGuitar,Guitar
meleeGuitarDesc,"An old guitar. Probably only good for cracking skulls at this point."
meleeMachete1,Survival Machete
meleeMachete1Desc,"A worn, short machete."
meleeFishSpear,Fishing Spear
meleeFishSpearDesc,"A fishing spear. Power attack causes bleeding."
meleePitchfork,Pitchfork
meleePitchforkDesc,"An old pitchfork. Power attack causes bleeding."
meleeCattleProd,Cattle Prod
meleeCattleProdDesc,"A homemade cattle prod."

meleeTheBreak,[FFC300]The Break[-]
meleeTheBreakDesc,A custom pool cue. Higher damage and dismemberment.
meleeDukeSledge,[FFC300]Duke's Judgement[-]
meleeDukeSledgeDesc,A powerful supa sledge.
meleeMBC,[FFC300]Mad Bean's Club[-]
meleeMBCDesc,A cobbled together melee weapon. Scavenged from the wasteland. Sure would hate to meet the maniac who made this thing...
meleeAlienBaton,[FFC300]Alien Shock Baton[-]
meleeAlienBatonDesc,A lightweight baton that looks like it might shock whatever it hits. No idea what it's made of...
meleeNavSlugger,[FFC300]Navezgane Slugger[-]
meleeNavSluggerDesc,Send those zombie heads out of the park!
meleeOpenBreaker,[FFC300]Open Breaker[-]
meleeOpenBreakerDesc,"Zombie killing is a 24/7 business. And cousin, business is a-boomin'!"

cntUFO,Crashed UFO
cntUFODesc,UFO block

vehicleVertibirdchassis,Vertibird Chassis
vehicleVertibirdchassisDesc,Parts needed to craft the Vertibird. Grease Monkey level 5 required to craft these.
vehicleVertibirdengines,Vertibird Engines
vehicleVertibirdenginesDesc,Parts needed to craft the Vertibird. Grease Monkey level 5 required to craft these.
vehicleVertibird,Vertibird
vehicleVertibirdplaceable,Vertibird
vehicleVertibirdplaceableDesc,Old military transport chopper. Can hold up to 6 people.
vehicleVertibirdchassisSchematic,Vertibird Chassis Schematic
vehicleVertibirdenginesSchematic,Vertibird Engines Schematic
vehicleICTchassis,Icecream Truck Chassis
vehicleICTchassisDesc,Parts needed to craft the Icecream Truck. Grease Monkey level 4 required to craft these.
vehicleICTbody,Icecream Truck Body
vehicleICTbodyDesc,Parts needed to craft the Icecream Truck. Grease Monkey level 4 required to craft these.
vehicleICT,Icecream Truck
vehicleICTplaceable,Icecream Truck
vehicleICTplaceableDesc,Old Icecream Truck.
vehicleICTchassisSchematic,Icecream Truck Chassis Schematic
vehicleICTbodySchematic,Icecream Truck Body Schematic
vehiclePColdchassis,Old Police Car Chassis
vehiclePColdchassisDesc,Parts needed to craft the Police Car. Grease Monkey level 4 required to craft these.
vehiclePColdbody,Old Police Car Body
vehiclePColdbodyDesc,Parts needed to craft the Police Car. Grease Monkey level 4 required to craft these.
vehiclePCold,Old Police Car
vehiclePColdplaceable,Old Police Car
vehiclePColdplaceableDesc,Old Old Police Car.
vehiclePColdchassisSchematic,Old Police Car Chassis Schematic
vehiclePColdbodySchematic,Old Police Car Body Schematic
vehicleAtomCarchassis,Old Atom Car Chassis
vehicleAtomCarchassisDesc,Parts needed to craft the Atom Car. Grease Monkey level 4 required to craft these.
vehicleAtomCarbody,Old Atom Car Body
vehicleAtomCarbodyDesc,Parts needed to craft the Atom Car. Grease Monkey level 4 required to craft these.
vehicleAtomCar,Old Atom Car
vehicleAtomCarplaceable,Old Atom Car
vehicleAtomCarplaceableDesc,Old Atom Car.
vehicleAtomCarchassisSchematic,Old Atom Car Chassis Schematic
vehicleAtomCarbodySchematic,Old Atom Car Body Schematic
vehicleOldTruckchassis,Old Pickup Chassis
vehicleOldTruckchassisDesc,Parts needed to craft the Pickup. Grease Monkey level 4 required to craft these.
vehicleOldTruckbody,Old Pickup Body
vehicleOldTruckbodyDesc,Parts needed to craft the Pickup. Grease Monkey level 4 required to craft these.
vehicleOldTruck,Old Pickup
vehicleOldTruckplaceable,Old Pickup
vehicleOldTruckplaceableDesc,Old Pickup.
vehicleOldTruckchassisSchematic,Old Pickup Chassis Schematic
vehicleOldTruckbodySchematic,Old Pickup Body Schematic
vehicleOldSemiWLchassis,Old Semi Chassis
vehicleOldSemiWLchassisDesc,Parts needed to craft the Old Semi. Grease Monkey level 4 required.
vehicleOldSemiWLbody,Old Semi Body
vehicleOldSemiWLbodyDesc,Parts needed to craft the Old Semi.
vehicleOldSemiWL,Old Semi
vehicleOldSemiWLplaceable,Old Semi
vehicleOldSemiWLplaceableDesc,"You better watch your step, Arlene!"
vehicleOldSemiWLchassisSchematic,Old Semi Chassis Schematic
vehicleOldSemiWLbodySchematic,Old Semi Body Schematic

EntityLootContainerRaider,Loot
EntityLootContainerRaiderDesc,Loot
EntityLootContainerRaiderLeader,Leader's Loot
EntityLootContainerRaiderLeaderDesc,Leader's Loot
EntityLootContainerMutant,Mutant's Loot
EntityLootContainerMutantDesc,Mutant's Loot
EntityLootContainerBehemoth,Behemoth's Loot
EntityLootContainerBehemothDesc,Behemoth's Loot
EntityLootContainerGhoul,Ghoul's Loot
EntityLootContainerGhoulDesc,Ghoul's Loot
EntityLootContainerAlien,Alien Loot
EntityLootContainerAlienDesc,Alien Loot
EntityLootContainerFisherman,Fisherman's Loot
EntityLootContainerFishermanDesc,Loot

resourcePowerArmorRepairKit,Power Armor Repair Kit
resourcePowerArmorRepairKitDesc,Resource kit used to repair Power Armor.
powerArmorMaster1Desc,"A piece of a Power Armor frame. You need to find the power armor pieces to make this useful. Repairs with Power Armor Repair Kit."
powerArmorHelmet_Base1,Power Armor Frame (Helmet)
powerArmorChest_Base1,Power Armor Frame (Chest)
powerArmorArms_Base1,Power Armor Frame (Arms)
powerArmorLegs_Base1,Power Armor Frame (Legs)
powerArmorBoots_Base1,Power Armor Frame (Boots)
modPowerArmorHelmet_Model_A1Desc,"This is a piece of power armor. It installs into a Power Armor Frame piece."
modPowerArmorHelmet_Model_A1,Power Armor (Helmet)
modPowerArmorHelmet_Model_B1,Power Armor (Helmet)
modPowerArmorHelmet_Model_C1,Power Armor (Helmet)
modPowerArmorHelmet_Model_D1,Power Armor (Helmet)
modPowerArmorHelmet_Model_E1,Power Armor (Helmet)
modPowerArmorHelmet_Model_F1,Power Armor (Helmet)
modPowerArmorHelmet_Model_G1,Power Armor (Helmet)
modPowerArmorHelmet_Model_H1,Power Armor (Helmet)
modPowerArmorHelmet_Model_I1,Power Armor (Helmet)
modPowerArmorHelmet_Model_J1,Power Armor (Helmet)
modPowerArmorHelmet_Model_K1,Power Armor (Helmet)
modPowerArmorChest_Model_A1,Power Armor (Chest)
modPowerArmorChest_Model_B1,Power Armor (Chest)
modPowerArmorChest_Model_C1,Power Armor (Chest)
modPowerArmorChest_Model_D1,Power Armor (Chest)
modPowerArmorChest_Model_E1,Power Armor (Chest)
modPowerArmorChest_Model_F1,Power Armor (Chest)
modPowerArmorChest_Model_G1,Power Armor (Chest)
modPowerArmorChest_Model_H1,Power Armor (Chest)
modPowerArmorChest_Model_I1,Power Armor (Chest)
modPowerArmorChest_Model_J1,Power Armor (Chest)
modPowerArmorChest_Model_K1,Power Armor (Chest)
modPowerArmorArms_Model_A1,Power Armor (Arms)
modPowerArmorArms_Model_B1,Power Armor (Arms)
modPowerArmorArms_Model_C1,Power Armor (Arms)
modPowerArmorArms_Model_D1,Power Armor (Arms)
modPowerArmorArms_Model_E1,Power Armor (Arms)
modPowerArmorArms_Model_F1,Power Armor (Arms)
modPowerArmorArms_Model_G1,Power Armor (Arms)
modPowerArmorArms_Model_H1,Power Armor (Arms)
modPowerArmorArms_Model_I1,Power Armor (Arms)
modPowerArmorArms_Model_J1,Power Armor (Arms)
modPowerArmorArms_Model_K1,Power Armor (Arms)
modPowerArmorLegs_Model_A1,Power Armor (Legs)
modPowerArmorLegs_Model_B1,Power Armor (Legs)
modPowerArmorLegs_Model_C1,Power Armor (Legs)
modPowerArmorLegs_Model_D1,Power Armor (Legs)
modPowerArmorLegs_Model_E1,Power Armor (Legs)
modPowerArmorLegs_Model_F1,Power Armor (Legs)
modPowerArmorLegs_Model_G1,Power Armor (Legs)
modPowerArmorLegs_Model_H1,Power Armor (Legs)
modPowerArmorLegs_Model_I1,Power Armor (Legs)
modPowerArmorLegs_Model_J1,Power Armor (Legs)
modPowerArmorLegs_Model_K1,Power Armor (Legs)
modPowerArmorBoots_Model_A1,Power Armor (Boots)
modPowerArmorBoots_Model_B1,Power Armor (Boots)
modPowerArmorBoots_Model_C1,Power Armor (Boots)
modPowerArmorBoots_Model_D1,Power Armor (Boots)
modPowerArmorBoots_Model_E1,Power Armor (Boots)
modPowerArmorBoots_Model_F1,Power Armor (Boots)
